index,period,attendances
1106,2016-12-01,2224
1107,2016-12-01,7272
1108,2016-12-01,6132
1109,2016-12-01,11375
1110,2016-12-01,4664
1111,2016-12-01,4694
1112,2016-12-01,1995
1113,2016-12-01,9048
1114,2016-12-01,4540
1115,2016-12-01,274
1116,2016-12-01,508
1117,2016-12-01,6396
1118,2016-12-01,2257
1119,2016-12-01,1494
1120,2016-12-01,18850
1121,2016-12-01,3275
1122,2016-12-01,719
1123,2016-12-01,3574
1124,2016-12-01,7206
1125,2016-12-01,394
1126,2016-12-01,6005
1127,2016-12-01,124
1128,2016-12-01,7469
1129,2016-12-01,317
1130,2016-12-01,13131
1131,2016-12-01,3650
1132,2016-12-01,8572
1133,2016-12-01,4206
1134,2016-12-01,384
1135,2016-12-01,656
1136,2016-12-01,617
1137,2016-12-01,7412
1138,2016-12-01,517
1139,2016-12-01,7931
1140,2016-12-01,5165
1141,2016-12-01,4210
1142,2016-12-01,9632
1143,2016-12-01,770
1144,2016-12-01,5198
1145,2016-12-01,8206
1146,2016-12-01,598
1147,2016-12-01,8679
1148,2016-12-01,875
1149,2016-12-01,5609
1150,2016-12-01,5102
1151,2016-12-01,14569
1152,2016-12-01,1295
1153,2016-12-01,191
1154,2016-12-01,3145
1155,2016-12-01,200
1156,2016-12-01,327
1157,2016-12-01,2405
1158,2016-12-01,13578
1159,2016-12-01,1945
1160,2016-12-01,2886
1161,2016-12-01,8466
